,price,area,rooms,ebk,garten,balkon,inkl_NK,category,GEN
136,520.0,76.0,3.0,True,False,False,False,Erdgeschosswohnung,Steinburg
137,705.0,74.0,3.0,True,False,True,False,Etagenwohnung,Pinneberg
138,550.0,55.0,2.0,True,False,False,False,Erdgeschosswohnung,Pinneberg
139,650.0,65.0,2.0,True,False,True,False,Etagenwohnung,Pinneberg
140,635.0,67.0,2.5,True,False,True,False,Erdgeschosswohnung,Pinneberg
141,593.0,72.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
142,530.0,72.0,3.0,True,False,False,False,Etagenwohnung,Steinburg
143,575.0,73.0,3.0,True,False,True,False,Etagenwohnung,Neumünster
144,625.0,70.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
145,795.0,79.0,4.0,True,False,True,False,Etagenwohnung,Kiel
146,680.0,72.0,3.0,True,False,True,False,Etagenwohnung,Pinneberg
147,750.0,62.0,2.0,True,False,True,False,Wohnung,Stormarn
148,870.0,55.0,2.0,True,False,True,False,Wohnung,Segeberg
149,929.0,88.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
150,1365.0,144.0,3.0,True,False,True,False,Etagenwohnung,Pinneberg
151,595.0,73.0,2.0,True,False,False,False,Etagenwohnung,Pinneberg
152,1710.0,171.0,3.0,True,True,False,False,Erdgeschosswohnung,Pinneberg
153,720.0,81.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
154,495.0,60.0,2.0,True,False,False,False,Wohnung,Herzogtum Lauenburg
155,1137.0,117.0,4.0,True,True,False,False,Etagenwohnung,Segeberg
156,695.0,71.0,2.5,True,False,True,False,Etagenwohnung,Herzogtum Lauenburg
157,695.0,71.0,2.5,True,True,True,False,Etagenwohnung,Herzogtum Lauenburg
158,390.0,35.0,1.5,True,True,True,False,Wohnung,Ostholstein
159,610.0,68.0,3.0,True,False,False,False,Wohnung,Schleswig-Flensburg
160,445.0,45.0,2.0,False,False,False,False,Etagenwohnung,Herzogtum Lauenburg
161,439.0,72.0,3.0,True,False,True,False,Wohnung,Rendsburg-Eckernförde
162,410.0,72.0,3.0,True,False,True,False,Etagenwohnung,Steinburg
163,545.0,50.0,2.0,True,False,True,False,Apartment,Ostholstein
164,630.0,71.0,2.0,True,False,True,False,Apartment,Stormarn
165,375.0,54.0,2.5,True,False,False,False,Dachgeschosswohnung,Steinburg
166,480.0,60.0,2.0,False,False,False,False,Etagenwohnung,Pinneberg
167,505.0,72.0,2.0,False,False,False,False,Wohnung,Flensburg
168,490.0,56.0,1.5,True,False,True,False,Wohnung,Rendsburg-Eckernförde
169,510.0,90.0,4.0,True,True,False,False,Etagenwohnung,Plön
170,693.0,66.0,2.0,True,True,False,False,Erdgeschosswohnung,Ostholstein
171,1200.0,100.0,4.0,True,False,False,False,Erdgeschosswohnung,Plön
172,665.0,70.0,2.0,True,False,False,False,Erdgeschosswohnung,Rendsburg-Eckernförde
173,960.0,96.0,3.0,True,False,True,False,Dachgeschosswohnung,Pinneberg
174,495.0,56.0,3.0,False,True,True,False,Wohnung,Kiel
175,350.0,47.0,2.0,True,True,False,False,Etagenwohnung,Neumünster
176,990.0,90.0,3.0,True,False,False,False,Erdgeschosswohnung,Stormarn
177,560.0,69.0,3.5,True,False,True,False,Dachgeschosswohnung,Nordfriesland
178,810.0,90.0,2.0,True,False,True,False,Etagenwohnung,Schleswig-Flensburg
179,886.0,89.0,3.0,True,False,True,False,Etagenwohnung,Herzogtum Lauenburg
180,810.7,82.0,3.0,False,False,True,False,Apartment,Nordfriesland
181,1210.0,100.0,3.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
182,620.0,69.0,2.5,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
183,920.0,77.0,3.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
184,750.0,60.0,2.0,True,False,True,False,Maisonette,Pinneberg
185,740.0,62.0,2.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
186,580.0,67.0,3.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
187,460.0,53.0,1.0,True,False,False,False,Etagenwohnung,Herzogtum Lauenburg
188,660.0,60.0,2.0,True,False,True,False,Etagenwohnung,Stormarn
189,480.0,65.0,2.0,False,False,False,False,Etagenwohnung,Herzogtum Lauenburg
190,950.0,80.0,2.5,True,True,True,False,Wohnung,Kiel
191,1100.0,117.0,4.0,True,False,True,False,Maisonette,Pinneberg
192,1100.0,92.0,4.0,True,False,False,False,Penthouse,Herzogtum Lauenburg
193,406.0,62.0,2.5,False,False,False,False,Wohnung,Flensburg
194,900.0,89.0,3.0,True,False,True,False,Erdgeschosswohnung,Segeberg
195,900.0,89.0,3.0,True,False,True,False,Erdgeschosswohnung,Segeberg
196,1320.0,110.0,4.0,True,False,True,False,Wohnung,Pinneberg
197,1143.14,80.0,3.0,True,False,True,False,Wohnung,Stormarn
198,695.0,121.0,4.0,True,True,False,False,Erdgeschosswohnung,Steinburg
199,450.0,50.0,2.0,True,False,False,False,Erdgeschosswohnung,Neumünster
200,411.35,49.0,2.0,False,False,True,False,Etagenwohnung,Pinneberg
201,546.45,56.0,2.5,False,False,False,False,Etagenwohnung,Pinneberg
